Scenario ,ID,Fuel,Opt-geometry,Opt-ACH,Opt-Ceilings,Opt-GenericWall_1Layer_definitions,Opt-BasementConfiguration,Opt-ExposedFloor,Opt-CasementWindows,Opt-GhgHeatingCooling ,Opt-DHWSystem,Opt-HRVspec
Baseline,CA_Pre-1946_Gas,Gas,Pre-1946,retro_ACH_10, CeilR20 , Generic_Wall_R-07-eff ,GHG-bsm-1-RSI_0.66,BaseExpFloor-R31,win-Canada-Pre-1946-Gas,ghg-hvac-1-Gas,Pre-1946-Gas-dhw,ghg-exh-fan
Baseline,CA_Pre-1946_Elect,Elect,Pre-1946,retro_ACH_10.3, CeilR20 , Generic_Wall_R-09-eff ,GHG-bsm-2-RSI_0.68,BaseExpFloor-R31,win-Canada-Pre-1946-Elect,ghg-hvac-2-Elect,Pre-1946-Elect-dhw,ghg-exh-fan
Baseline,CA_Pre-1946_Oil,Oil,Pre-1946,retro_ACH_10, CeilR20 , Generic_Wall_R-08-eff ,GHG-bsm-3-RSI_0.58,BaseExpFloor-R31,win-Canada-Pre-1946-Oil,ghg-hvac-3-Oil,Pre-1946-Oil-dhw,ghg-exh-fan
Baseline,CA_Pre-1946_Gas,Gas,Pre-1946,retro_ACH_10, CeilR20 , Generic_Wall_R-07-eff ,GHG-bsm-1-RSI_0.66,BaseExpFloor-R31,win-Canada-Pre-1946-Gas,ghgHP-a,Pre-1946-Gas-dhw,ghg-exh-fan
Baseline,CA_1946-1983_Gas,Gas,1946-1983,retro_ACH_6.2, CeilR30 , Generic_Wall_R-11-eff ,GHG-bsm-4-RSI_0.83,BaseExpFloor-R31,win-Canada-1946-1983-Gas,ghg-hvac-4-Gas,1946-1983-Gas-dhw,ghg-exh-fan
Baseline,CA_1946-1983_Elect,Elect,1946-1983,retro_ACH_6.1, CeilR30 , Generic_Wall_R-12-eff ,GHG-bsm-5-RSI_0.86,BaseExpFloor-R31,win-Canada-1946-1983-Elect,ghg-hvac-5-Elect,1946-1983-Elect-dhw,ghg-exh-fan
Baseline,CA_1946-1983_Oil,Oil,1946-1983,retro_ACH_6.3, CeilR30 , Generic_Wall_R-11-eff ,GHG-bsm-6-RSI_0.77,BaseExpFloor-R31,win-Canada-1946-1983-Oil,ghg-hvac-6-Oil,1946-1983-Oil-dhw,ghg-exh-fan
Baseline,CA_1946-1983_Gas,Gas,1946-1983,retro_ACH_6.2, CeilR30 , Generic_Wall_R-11-eff ,GHG-bsm-4-RSI_0.83,BaseExpFloor-R31,win-Canada-1946-1983-Gas,ghgHP-a,1946-1983-Gas-dhw,ghg-exh-fan
Baseline,CA_1984-1995_Gas,Gas,1984-1995,retro_ACH_4.4, CeilR30 , Generic_Wall_R-14-eff ,GHG-bsm-7-RSI_1.66,BaseExpFloor-R31,win-Canada-1984-1995-Gas,ghg-hvac-7-Gas,1984-1995-Gas-dhw,ghg-exh-fan
Baseline,CA_1984-1995_Elect,Elect,1984-1995,retro_ACH_4.1, CeilR30 , Generic_Wall_R-15-eff ,GHG-bsm-8-RSI_1.66,BaseExpFloor-R31,win-Canada-1984-1995-Elect,ghg-hvac-8-Elect,1984-1995-Elect-dhw,ghg-exh-fan
Baseline,CA_1984-1995_Oil,Oil,1984-1995,retro_ACH_4.9, CeilR30 , Generic_Wall_R-14-eff ,GHG-bsm-9-RSI_1.53,BaseExpFloor-R31,win-Canada-1984-1995-Oil,ghg-hvac-9-Oil,1984-1995-Oil-dhw,ghg-exh-fan
Baseline,CA_1984-1995_Gas,Gas,1984-1995,retro_ACH_4.4, CeilR30 , Generic_Wall_R-14-eff ,GHG-bsm-7-RSI_1.66,BaseExpFloor-R31,win-Canada-1984-1995-Gas,ghgHP-a,1984-1995-Gas-dhw,ghg-exh-fan
Baseline,CA_1996-2005_Gas,Gas,1996-2005,retro_ACH_3.2, CeilR40 , Generic_Wall_R-15-eff ,GHG-bsm-10-RSI_1.72,BaseExpFloor-R31,win-Canada-1996-2005-Gas,ghg-hvac-10-Gas,1996-2005-Gas-dhw,ghg-exh-fan
Baseline,CA_1996-2005_Elect,Elect,1996-2005,retro_ACH_3.1, CeilR40 , Generic_Wall_R-16-eff ,GHG-bsm-11-RSI_1.67,BaseExpFloor-R31,win-Canada-1996-2005-Elect,ghg-hvac-11-Elect,1996-2005-Elect-dhw,ghg-hrv-55sre
Baseline,CA_1996-2005_Oil,Oil,1996-2005,retro_ACH_3.4, CeilR40 , Generic_Wall_R-16-eff ,GHG-bsm-12-RSI_1.69,BaseExpFloor-R31,win-Canada-1996-2005-Oil,ghg-hvac-12-Oil,1996-2005-Oil-dhw,ghg-hrv-55sre
Baseline,CA_1996-2005_Gas,Gas,1996-2005,retro_ACH_3.2, CeilR40 , Generic_Wall_R-15-eff ,GHG-bsm-10-RSI_1.72,BaseExpFloor-R31,win-Canada-1996-2005-Gas,ghgHP-a,1996-2005-Gas-dhw,ghg-exh-fan
Baseline,CA_2006-2011_Gas,Gas,2006-2011,retro_ACH_2.6, CeilR40 , Generic_Wall_R-15-eff ,GHG-bsm-13-RSI_1.75,BaseExpFloor-R31,win-Canada-2006-2011-Gas,ghg-hvac-13-Gas,2006-2011-Gas-dhw,ghg-hrv-55sre
Baseline,CA_2006-2011_Elect,Elect,2006-2011,retro_ACH_2.5, CeilR40 , Generic_Wall_R-16-eff ,GHG-bsm-14-RSI_1.8,BaseExpFloor-R31,win-Canada-2006-2011-Elect,ghg-hvac-14-Elect,2006-2011-Elect-dhw,ghg-hrv-55sre
Baseline,CA_2006-2011_Oil,Oil,2006-2011,retro_ACH_2.4, CeilR40 , Generic_Wall_R-16-eff ,GHG-bsm-15-RSI_1.98,BaseExpFloor-R31,win-Canada-2006-2011-Oil,ghg-hvac-15-Oil,2006-2011-Oil-dhw,ghg-hrv-55sre
Baseline,CA_2006-2011_Gas,Gas,2006-2011,retro_ACH_2.6, CeilR40 , Generic_Wall_R-15-eff ,GHG-bsm-13-RSI_1.75,BaseExpFloor-R31,win-Canada-2006-2011-Gas,ghgHP-a,2006-2011-Gas-dhw,ghg-hrv-55sre
Baseline,CA_2012-2019_Gas,Gas,2012-2019,retro_ACH_2.4, CeilR50 , Generic_Wall_R-17-eff ,GHG-bsm-16-RSI_2.95,BaseExpFloor-R31,win-Canada-2012-2019-Gas,ghg-hvac-16-Gas,2012-2019-Gas-dhw,ghg-hrv-55sre
Baseline,CA_2012-2019_Elect,Elect,2012-2019,retro_ACH_2.4, CeilR50 , Generic_Wall_R-17-eff ,GHG-bsm-17-RSI_2.95,BaseExpFloor-R31,win-Canada-2012-2019-Elect,ghg-hvac-17-Elect,2012-2019-Elect-dhw,ghg-hrv-55sre
Baseline,CA_2012-2019_Oil,Oil,2012-2019,retro_ACH_2.4, CeilR50 , Generic_Wall_R-17-eff ,GHG-bsm-18-RSI_2.95,BaseExpFloor-R31,win-Canada-2012-2019-Oil,ghg-hvac-18-Oil,2012-2019-Oil-dhw,ghg-hrv-55sre
Baseline,CA_2012-2019_Gas,Gas,2012-2019,retro_ACH_2.4, CeilR50 , Generic_Wall_R-17-eff ,GHG-bsm-16-RSI_2.95,BaseExpFloor-R31,win-Canada-2012-2019-Gas,ghgHP-a,2012-2019-Gas-dhw,ghg-hrv-55sre
Baseline,CA_2020-2024_Gas,Gas,2020-2024,retro_ACH_1.4, CeilR60 , Generic_Wall_R-22-eff ,GHG-bsm-19-RSI_3.73,BaseExpFloor-R31,win-Canada-2020-2024-Gas,ghg-hvac-19-Gas,2020-2024-Gas-dhw,ghg-hrv-70sre
Baseline,CA_2020-2024_Elect,Elect,2020-2024,retro_ACH_1.4, CeilR60 , Generic_Wall_R-22-eff ,GHG-bsm-20-RSI_3.73,BaseExpFloor-R31,win-Canada-2020-2024-Elect,ghg-hvac-20-Elect,2020-2024-Elect-dhw,ghg-hrv-70sre
Baseline,CA_2020-2024_Oil,Oil,2020-2024,retro_ACH_1.4, CeilR60 , Generic_Wall_R-25-eff ,GHG-bsm-21-RSI_3.73,BaseExpFloor-R31,win-Canada-2020-2024-Oil,ghg-hvac-21-Oil,2020-2024-Oil-dhw,ghg-hrv-70sre
Baseline,CA_2020-2024_Gas,Gas,2020-2024,retro_ACH_1.4, CeilR60 , Generic_Wall_R-22-eff ,GHG-bsm-19-RSI_3.73,BaseExpFloor-R31,win-Canada-2020-2024-Gas,ghgHP-a,2020-2024-Gas-dhw,ghg-hrv-70sre
Baseline,CA_2025-onwards_Gas,Gas,2025-onwards,retro_ACH_1, CeilR60 , Generic_Wall_R-36-eff ,GHG-bsm-22-RSI_5.46,BaseExpFloor-R31,win-Canada-2025-onwards-Gas,ghg-hvac-22-Gas,2025-onwards-Gas-dhw,ghg-hrv-80sre
Baseline,CA_2025-onwards_Elect,Elect,2025-onwards,retro_ACH_1, CeilR60 , Generic_Wall_R-36-eff ,GHG-bsm-23-RSI_5.46,BaseExpFloor-R31,win-Canada-2025-onwards-Elect,ghg-hvac-23-CCHP,2025-onwards-Elect-dhw,ghg-hrv-80sre
Baseline,CA_2025-onwards_Oil,Oil,2025-onwards,retro_ACH_1, CeilR60 , Generic_Wall_R-36-eff ,GHG-bsm-24-RSI_5.46,BaseExpFloor-R31,win-Canada-2025-onwards-Oil,ghg-hvac-24-Oil,2025-onwards-Oil-dhw,ghg-hrv-80sre
Baseline,CA_2025-onwards_Gas,Gas,2025-onwards,retro_ACH_1, CeilR60 , Generic_Wall_R-36-eff ,GHG-bsm-22-RSI_5.46,BaseExpFloor-R31,win-Canada-2025-onwards-Gas,ghgHP-a,2025-onwards-Gas-dhw,ghg-hrv-80sre
Baseline,BC-VAN_Pre-1946_Gas,Gas,Pre-1946,retro_ACH_11.9,CeilR10, Generic_Wall_R-07-eff ,GHG-bsm-1-RSI_0.66,BaseExpFloor-R31,win-Canada-Pre-1946-Gas,ghg-hvac-1-Gas,Pre-1946-Gas-dhw,ghg-exh-fan
Baseline,BC-VAN_1946-1983_Gas,Gas,1946-1983,retro_ACH_9.6,CeilR20, Generic_Wall_R-11-eff ,GHG-bsm-4-RSI_0.83,BaseExpFloor-R31,win-Canada-1946-1983-Gas,ghg-hvac-4-Gas,1946-1983-Gas-dhw,ghg-exh-fan
Baseline,BC-VAN_1984-1995_Gas,Gas,1984-1995,retro_ACH_6.7,CeilR20, Generic_Wall_R-14-eff ,GHG-bsm-7-RSI_1.66,BaseExpFloor-R31,win-Canada-1984-1995-Gas,ghg-hvac-7-Gas,1984-1995-Gas-dhw,ghg-exh-fan
Baseline,BC-VAN_1996-2005_Gas,Gas,1996-2005,retro_ACH_4.6,CeilR30, Generic_Wall_R-15-eff ,GHG-bsm-10-RSI_1.72,BaseExpFloor-R31,win-Canada-1996-2005-Gas,ghg-hvac-10-Gas,1996-2005-Gas-dhw,ghg-exh-fan
Baseline,BC-VAN_2006-2011_Gas,Gas,2006-2011,retro_ACH_4,CeilR30, Generic_Wall_R-15-eff ,GHG-bsm-13-RSI_1.75,BaseExpFloor-R31,win-Canada-2006-2011-Gas,ghg-hvac-13-Gas,2006-2011-Gas-dhw,ghg-hrv-55sre
Baseline,BC-VAN_Pre-1946_Gas,Gas,Pre-1946,retro_ACH_11.9,CeilR10, Generic_Wall_R-07-eff ,GHG-bsm-1-RSI_0.66,BaseExpFloor-R31,win-Canada-Pre-1946-Gas,ghgHP-a,Pre-1946-Gas-dhw,ghg-exh-fan
Baseline,BC-VAN_1946-1983_Gas,Gas,1946-1983,retro_ACH_9.6,CeilR20, Generic_Wall_R-11-eff ,GHG-bsm-4-RSI_0.83,BaseExpFloor-R31,win-Canada-1946-1983-Gas,ghgHP-a,1946-1983-Gas-dhw,ghg-exh-fan
Baseline,BC-VAN_1984-1995_Gas,Gas,1984-1995,retro_ACH_6.7,CeilR20, Generic_Wall_R-14-eff ,GHG-bsm-7-RSI_1.66,BaseExpFloor-R31,win-Canada-1984-1995-Gas,ghgHP-a,1984-1995-Gas-dhw,ghg-exh-fan
Baseline,BC-VAN_1996-2005_Gas,Gas,1996-2005,retro_ACH_4.6,CeilR30, Generic_Wall_R-15-eff ,GHG-bsm-10-RSI_1.72,BaseExpFloor-R31,win-Canada-1996-2005-Gas,ghgHP-a,1996-2005-Gas-dhw,ghg-exh-fan
Baseline,BC-VAN_2006-2011_Gas,Gas,2006-2011,retro_ACH_4,CeilR30, Generic_Wall_R-15-eff ,GHG-bsm-13-RSI_1.75,BaseExpFloor-R31,win-Canada-2006-2011-Gas,ghgHP-a,2006-2011-Gas-dhw,ghg-hrv-55sre
Baseline,BC-VAN_Pre-1946_Oil,Oil,Pre-1946,retro_ACH_13.3,CeilR10, Generic_Wall_R-08-eff ,GHG-bsm-3-RSI_0.58,BaseExpFloor-R31,win-Canada-Pre-1946-Oil,ghg-hvac-3-Oil,Pre-1946-Oil-dhw,ghg-exh-fan
Baseline,BC-VAN_1946-1983_Oil,Oil,1946-1983,retro_ACH_10.4,CeilR20, Generic_Wall_R-11-eff ,GHG-bsm-6-RSI_0.77,BaseExpFloor-R31,win-Canada-1946-1983-Oil,ghg-hvac-6-Oil,1946-1983-Oil-dhw,ghg-exh-fan
Baseline,QC-QC_1946-1983_Oil,Oil,1946-1983,retro_ACH_4.1, CeilR30 , Generic_Wall_R-11-eff ,GHG-bsm-6-RSI_0.77,BaseExpFloor-R31,win-Canada-1946-1983-Oil,ghg-hvac-6-Oil,1946-1983-Oil-dhw,ghg-exh-fan
Baseline,SK-REG_1984-1995_Elect,Elect,1984-1995,retro_ACH_3.1, CeilR30 , Generic_Wall_R-15-eff ,GHG-bsm-8-RSI_1.66,BaseExpFloor-R31,win-Canada-1984-1995-Elect,ghg-hvac-8-Elect,1984-1995-Elect-dhw,ghg-exh-fan
Baseline,SK-REG_2006-2011_Elect,Elect,2006-2011,retro_ACH_1.6, CeilR40 , Generic_Wall_R-16-eff ,GHG-bsm-14-RSI_1.8,BaseExpFloor-R31,win-Canada-2006-2011-Elect,ghg-hvac-14-Elect,2006-2011-Elect-dhw,ghg-hrv-55sre
